name,dimension,optimal,time,bytes,gctime,gcstats
pr144,144,true,10.045588792,750804976,0.044205708,"Base.GC_Diff(750804976, 23496, 690, 28957415, 2544, 23143, 44205708, 6, 0)"
ch150,150,true,13.829703208,942023408,0.055837585,"Base.GC_Diff(942023408, 27307, 800, 35199605, 3841, 26897, 55837585, 7, 0)"
kroA150,150,true,16.389363625,864129992,0.055254251,"Base.GC_Diff(864129992, 20427, 600, 33468549, 2714, 20389, 55254251, 6, 0)"
kroB150,150,true,26.644298625,985989896,0.059508458,"Base.GC_Diff(985989896, 31062, 910, 37253707, 3876, 30966, 59508458, 6, 0)"
pr152,152,true,5.940233833,681255216,0.047074957,"Base.GC_Diff(681255216, 21666, 640, 26010254, 2386, 21365, 47074957, 5, 0)"
u159,159,true,4.567947166,589051304,0.029237791,"Base.GC_Diff(589051304, 15428, 450, 20904205, 2883, 15357, 29237791, 3, 0)"
si175,175,true,27.747767875,1391926432,0.108551541,"Base.GC_Diff(1391926432, 28141, 820, 53195574, 5206, 28050, 108551541, 8, 0)"
brg180,180,true,8.462360042,806573648,0.068847707,"Base.GC_Diff(806573648, 14004, 410, 29921188, 3947, 13678, 68847707, 5, 0)"
rat195,195,true,50.626137375,1427112384,0.360276835,"Base.GC_Diff(1427112384, 20632, 600, 54526819, 5786, 24613, 360276835, 10, 1)"
d198,198,true,31.117109042,1801829288,0.090249123,"Base.GC_Diff(1801829288, 32229, 940, 69060603, 6351, 31543, 90249123, 17, 0)"
kroA200,200,true,23.821317959,1339454560,0.065152957,"Base.GC_Diff(1339454560, 25625, 750, 50270421, 5037, 25507, 65152957, 11, 0)"
kroB200,200,true,10.675165125,971651544,0.052055792,"Base.GC_Diff(971651544, 19738, 580, 35402624, 4699, 19725, 52055792, 8, 0)"
